VOLCANX020,NUMBER,NAME,LOCATION,STATUS,ELEV,TYPE,TIMEFRAME,LAT,LON
509.000000000000000,1201-01=,Achalpur,Maharashtra,Historical,3285.000000000000000,Stratovolcanoes,D3,21.3,77.55
511.000000000000000,1201-02-,Bhusawal,Maharashtra,Tephrochronology,3213.000000000000000,Stratovolcano,D4,21.033333,75.783333
513.000000000000000,1201-03-,Lonavla,Maharashtra,Dendrochronology,4392.000000000000000,Stratovolcano,D3,18.733333,73.466667
515.000000000000000,1201-05-,Ratnagiri,Maharashtra,Historical,2549.000000000000000,Stratovolcano,D1,17.133333,73.316667
516.000000000000000,1201-04-,Umrer,Maharashtra,Tephrochronology,3742.000000000000000,Stratovolcano,D6,20.3,79.35
517.000000000000000,1201-06-,Janjira,Maharashtra,Radiocarbon,1329.000000000000000,Volcanic field,D7,18.3,73
518.000000000000000,1201-07-,Bhopal,Madhya Pradesh,Radiocarbon,1806.000000000000000,Shield volcanoes,D7,23.266667,77.6
519.000000000000000,1202-01-,Kothi,Madhya Pradesh,Historical,3426.000000000000000,Stratovolcano,D3,24.75,80.666667
521.000000000000000,1202-02-,Sarangpur,Madhya Pradesh,Varve Count,3199.000000000000000,Stratovolcano,D6,21.6,83.116667
522.000000000000000,1202-03-,Jaora,Madhya Pradesh,Radiocarbon,1230.000000000000000,Maar,D7,23.716667,75.15
523.000000000000000,1202-04-,Bhuj,Gujarat,Radiocarbon,1664.000000000000000,Cinder cones,D7,23.25,69.816667
524.000000000000000,1202-05-,Port Okha,Gujarat,Radiocarbon,2376.000000000000000,Shield volcano,D6,22.25,69.016667
525.000000000000000,1202-06-,Magori,Gujarat,Radiocarbon,2095.000000000000000,Shield volcanoes,D6,23.3,72.616667
526.000000000000000,1202-07-,Satpura Range,Gujarat,Radiocarbon,3074.000000000000000,Complex volcano,D6,21.066667,75
527.000000000000000,1202-08-,Bikaner,Rajasthan,Radiocarbon,3157.000000000000000,Complex volcano,D7,28.016667,73.366667
528.000000000000000,1202-09-,Nachana,Rajasthan,Tephrochronology,2763.000000000000000,Stratovolcano,D7,27.15,71.75
531.000000000000000,1202-11-,Pugal,Rajasthan,Radiocarbon,2434.000000000000000,Shield volcano,D6,28.516667,72.85
